"municipality_id","estrana","votes","pct_votes","okres"
"538205",6,11,1.04,"CZ0100"
"538205",7,30,2.83,"CZ0100"
"538205",9,38,3.58,"CZ0100"
"538205",11,4,0.38,"CZ0100"
"538205",12,7,0.66,"CZ0100"
"538205",13,3,0.28,"CZ0100"
"538205",16,9,0.85,"CZ0100"
"538205",19,3,0.28,"CZ0100"
"538205",21,1,0.09,"CZ0100"
"538205",22,1,0.09,"CZ0100"
"538205",23,1,0.09,"CZ0100"
"538205",24,46,4.34,"CZ0100"
"538205",25,10,0.94,"CZ0100"
"538205",26,192,18.11,"CZ0100"
"538205",27,161,15.19,"CZ0100"
"538205",28,58,5.47,"CZ0100"
"538205",30,153,14.43,"CZ0100"
"538205",31,1,0.09,"CZ0100"
"538205",33,1,0.09,"CZ0100"
"538205",34,7,0.66,"CZ0100"
"538205",35,2,0.19,"CZ0100"
"538205",36,3,0.28,"CZ0100"
"538205",37,12,1.13,"CZ0100"
"538205",39,50,4.72,"CZ0100"
"538205",40,1,0.09,"CZ0100"
"538213",2,11,0.28,"CZ0100"
"538213",3,15,0.39,"CZ0100"
"538213",4,1,0.03,"CZ0100"
"538213",5,731,18.87,"CZ0100"
"538213",6,34,0.88,"CZ0100"
"538213",7,103,2.66,"CZ0100"
"538213",9,264,6.82,"CZ0100"
"538213",10,2,0.05,"CZ0100"
"538213",11,3,0.08,"CZ0100"
"538213",12,32,0.83,"CZ0100"
"538213",13,5,0.13,"CZ0100"
"538213",14,2,0.05,"CZ0100"
"538213",15,2,0.05,"CZ0100"
"538213",16,19,0.49,"CZ0100"
"538213",17,1,0.03,"CZ0100"
"538213",18,2,0.05,"CZ0100"
"538213",19,7,0.18,"CZ0100"
"538213",21,1,0.03,"CZ0100"
"538213",23,1,0.03,"CZ0100"
"538213",24,136,3.51,"CZ0100"
"538213",25,26,0.67,"CZ0100"
"538213",26,626,16.16,"CZ0100"
"538213",27,693,17.89,"CZ0100"
"538213",28,232,5.99,"CZ0100"
"538213",29,1,0.03,"CZ0100"
"538213",30,585,15.1,"CZ0100"
"538213",31,2,0.05,"CZ0100"
"538213",32,3,0.08,"CZ0100"
"538213",34,24,0.62,"CZ0100"
"538213",35,1,0.03,"CZ0100"
"538213",36,7,0.18,"CZ0100"
"538213",37,36,0.93,"CZ0100"
"538213",38,5,0.13,"CZ0100"
"538213",39,243,6.27,"CZ0100"
"538213",40,17,0.44,"CZ0100"
"538302",1,2,0.18,"CZ0100"
"538302",2,4,0.37,"CZ0100"
"538302",3,4,0.37,"CZ0100"
"538302",4,5,0.46,"CZ0100"
"538302",5,276,25.21,"CZ0100"
"538302",6,12,1.1,"CZ0100"
"538302",7,23,2.1,"CZ0100"
"538302",9,19,1.74,"CZ0100"
"538302",10,2,0.18,"CZ0100"
"538302",12,5,0.46,"CZ0100"
"538302",13,2,0.18,"CZ0100"
"538302",15,1,0.09,"CZ0100"
"538302",16,7,0.64,"CZ0100"
"538302",21,1,0.09,"CZ0100"
"538302",22,1,0.09,"CZ0100"
"538302",24,62,5.66,"CZ0100"
"538302",25,11,1,"CZ0100"
"538302",26,249,22.74,"CZ0100"
"538302",27,178,16.26,"CZ0100"
"538302",28,48,4.38,"CZ0100"
"538302",30,119,10.87,"CZ0100"
"538302",31,1,0.09,"CZ0100"
"538302",32,1,0.09,"CZ0100"
"538302",34,3,0.27,"CZ0100"
"538302",37,9,0.82,"CZ0100"
"538302",38,1,0.09,"CZ0100"
"538302",39,47,4.29,"CZ0100"
"538302",40,2,0.18,"CZ0100"
"538353",2,2,0.46,"CZ0100"
"538353",3,1,0.23,"CZ0100"
"538353",5,113,26.22,"CZ0100"
"538353",7,6,1.39,"CZ0100"
"538353",9,12,2.78,"CZ0100"
"538353",10,2,0.46,"CZ0100"
"538353",13,1,0.23,"CZ0100"
"538353",16,3,0.7,"CZ0100"
"538353",19,1,0.23,"CZ0100"
"538353",22,1,0.23,"CZ0100"
"538353",24,20,4.64,"CZ0100"
"538353",25,1,0.23,"CZ0100"
"538353",26,91,21.11,"CZ0100"
"538353",27,65,15.08,"CZ0100"
"538353",28,21,4.87,"CZ0100"
"538353",30,66,15.31,"CZ0100"
"538353",31,2,0.46,"CZ0100"
"538353",34,2,0.46,"CZ0100"
"538353",36,1,0.23,"CZ0100"
"538353",37,5,1.16,"CZ0100"
"538353",39,14,3.25,"CZ0100"
"538353",40,1,0.23,"CZ0100"
"538361",1,3,0.24,"CZ0100"
"538361",2,7,0.56,"CZ0100"
"538361",3,5,0.4,"CZ0100"
"538361",5,252,20.18,"CZ0100"
"538361",6,14,1.12,"CZ0100"
"538361",7,35,2.8,"CZ0100"
"538361",9,23,1.84,"CZ0100"
"538361",11,1,0.08,"CZ0100"
"538361",12,5,0.4,"CZ0100"
"538361",13,2,0.16,"CZ0100"
"538361",14,1,0.08,"CZ0100"
"538361",15,3,0.24,"CZ0100"
"538361",16,7,0.56,"CZ0100"
"538361",18,4,0.32,"CZ0100"
"538361",19,4,0.32,"CZ0100"
"538361",22,9,0.72,"CZ0100"
"538361",23,1,0.08,"CZ0100"
"538361",24,57,4.56,"CZ0100"
"538361",25,11,0.88,"CZ0100"
"538361",26,280,22.42,"CZ0100"
"538361",27,244,19.54,"CZ0100"
"538361",28,45,3.6,"CZ0100"
"538361",30,126,10.09,"CZ0100"
"538361",31,1,0.08,"CZ0100"
"538361",32,1,0.08,"CZ0100"
"538361",34,4,0.32,"CZ0100"
"538361",35,1,0.08,"CZ0100"
"538361",36,4,0.32,"CZ0100"
"538361",37,19,1.52,"CZ0100"
"538361",39,70,5.6,"CZ0100"
"538361",40,10,0.8,"CZ0100"
"538388",5,16,14.81,"CZ0100"
"538388",7,10,9.26,"CZ0100"
"538388",9,5,4.63,"CZ0100"
"538388",10,1,0.93,"CZ0100"
"538388",17,1,0.93,"CZ0100"
"538388",19,1,0.93,"CZ0100"
"538388",24,2,1.85,"CZ0100"
"538388",25,1,0.93,"CZ0100"
"538388",26,17,15.74,"CZ0100"
"538388",27,18,16.67,"CZ0100"
"538388",28,6,5.56,"CZ0100"
"538388",30,25,23.15,"CZ0100"
"538388",34,1,0.93,"CZ0100"
"538388",39,3,2.78,"CZ0100"
"538388",40,1,0.93,"CZ0100"
"538400",2,1,0.25,"CZ0100"
"538400",3,2,0.49,"CZ0100"
"538400",4,1,0.25,"CZ0100"
"538400",5,120,29.41,"CZ0100"
"538400",6,5,1.23,"CZ0100"
"538400",7,6,1.47,"CZ0100"
"538400",8,1,0.25,"CZ0100"
"538400",9,3,0.74,"CZ0100"
"538400",12,1,0.25,"CZ0100"
"538400",16,2,0.49,"CZ0100"
"538400",24,16,3.92,"CZ0100"
"538400",25,3,0.74,"CZ0100"
"538400",26,94,23.04,"CZ0100"
"538400",27,67,16.42,"CZ0100"
"538400",28,14,3.43,"CZ0100"
"538400",30,47,11.52,"CZ0100"
"538400",34,1,0.25,"CZ0100"
"538400",36,2,0.49,"CZ0100"
"538400",37,4,0.98,"CZ0100"
"538400",39,13,3.19,"CZ0100"
"538400",40,5,1.23,"CZ0100"
"538531",5,20,24.1,"CZ0100"
"538531",6,2,2.41,"CZ0100"
"538531",7,5,6.02,"CZ0100"
"538531",9,4,4.82,"CZ0100"
"538531",12,1,1.2,"CZ0100"
"538531",13,1,1.2,"CZ0100"
"538531",24,6,7.23,"CZ0100"
"538531",26,11,13.25,"CZ0100"
"538531",27,10,12.05,"CZ0100"
"538531",28,5,6.02,"CZ0100"
"538531",30,11,13.25,"CZ0100"
"538531",31,1,1.2,"CZ0100"
"538531",37,2,2.41,"CZ0100"
"538531",39,3,3.61,"CZ0100"
"538531",40,1,1.2,"CZ0100"
"538736",2,3,0.42,"CZ0100"
"538736",3,5,0.71,"CZ0100"
"538736",4,1,0.14,"CZ0100"
"538736",5,177,25,"CZ0100"
"538736",6,5,0.71,"CZ0100"
